,"2023 Draw 5, Big Game Draw Results",,,,,,,,,,
,Species: GENERAL SEASON DEER - All Applicants,,,,,,,,,,
,,,,,,,,,,,
,Resident Applicants,Noresident Applicants,,,,,,,,,
,Total,Total,,,,,,,,,
Preference,Eligible,Bonus,Regular,Total,Success,Preference,Eligible,Bonus,Regular,Total,Success
,Points Applicants # Permits,# Permits,# Permits,Ratio,Points Applicants,# Permits,# Permits # Permits,Ratio,,,
,,,,,,,,,,,
22,0,0,0,0,N/A,22,1,0,1,1,1 in 1.0
21,0,0,0,0,N/A,21,1,0,1,1,1 in 1.0
20,0,0,0,0,N/A,20,0,0,0,0,N/A
19,0,0,0,0,N/A,19,0,0,0,0,N/A
18,0,0,0,0,N/A,18,0,0,0,0,N/A
17,0,0,0,0,N/A,17,0,0,0,0,N/A
16,0,0,0,0,N/A,16,4,0,4,4,1 in 1.0
15,0,0,0,0,N/A,15,1,0,1,1,1 in 1.0
14,0,0,0,0,N/A,14,1,0,1,1,1 in 1.0
13,0,0,0,0,N/A,13,2,0,2,2,1 in 1.0
12,1,0,1,1,1 in 1.0,12,2,0,2,2,1 in 1.0
11,2,0,2,2,1 in 1.0,11,12,0,12,12,1 in 1.0
10,3,0,3,3,1 in 1.0,10,17,0,17,17,1 in 1.0
9,5,0,5,5,1 in 1.0,9,10,0,10,10,1 in 1.0
8,8,0,6,6,1 in 1.3,8,25,0,25,25,1 in 1.0
7,19,0,18,18,1 in 1.1,7,92,0,72,72,1 in 1.3
6,53,0,52,52,1 in 1.0,6,232,0,118,118,1 in 2.0
5,173,0,166,166,1 in 1.0,5,441,0,191,191,1 in 2.3
4,1335,0,1245,1245,1 in 1.1,4,783,0,281,281,1 in 2.8
3,5944,0,3842,3842,1 in 1.5,3,1024,0,269,269,1 in 3.8
2,15238,0,7718,7718,1 in 2.0,2,1216,0,282,282,1 in 4.3
1,28607,0,12731,12731,1 in 2.2,1,1522,0,443,443,1 in 3.4
0,53140,0,14254,14254,1 in 3.7,0,3760,0,1820,1820,1 in 2.1
Totals,104528,0,40043,40043,1 in 2.6,Totals,9146,0,3552,3552,1 in 2.6
,,,,,,,,,,,
,"2023 Draw 5, Big Game Bonus Point Draw Results",05/30/2023 Page 1,,,,,,,,,
,Hunt: DB1500 Beaver - Archery,,,,,,,,,,
,,,,,,,,,,,
,Resident Applicants,Nonresident Applicants,,,,,,,,,
,Total,Total,,,,,,,,,
Preference,Eligible,Bonus,Regular,Total,Success,Preference,Eligible,Bonus,Regular,Total,Success
,Points Applicants # Permits,# Permits,# Permits,Ratio,Points Applicants,# Permits,# Permits # Permits,Ratio,,,
,,,,,,,,,,,
22,0,0,0,0,N/A,22,0,0,0,0,N/A
21,0,0,0,0,N/A,21,0,0,0,0,N/A
20,0,0,0,0,N/A,20,0,0,0,0,N/A
19,0,0,0,0,N/A,19,0,0,0,0,N/A
18,0,0,0,0,N/A,18,0,0,0,0,N/A
17,0,0,0,0,N/A,17,0,0,0,0,N/A
16,0,0,0,0,N/A,16,0,0,0,0,N/A
15,0,0,0,0,N/A,15,0,0,0,0,N/A
14,0,0,0,0,N/A,14,0,0,0,0,N/A
13,0,0,0,0,N/A,13,0,0,0,0,N/A
12,0,0,0,0,N/A,12,0,0,0,0,N/A
11,0,0,0,0,N/A,11,0,0,0,0,N/A
10,0,0,0,0,N/A,10,0,0,0,0,N/A
9,0,0,0,0,N/A,9,0,0,0,0,N/A
8,0,0,0,0,N/A,8,0,0,0,0,N/A
